Gender,Interest,Moment,Book,TV,TS,Member,Sky,Parent,Teacher,Other,V21,Decision,Value,Budget,ShouldUse,Time,FreeTime,Encourage,Schools,Bring,PL,WriteA,WriteB,WriteBG,Planet,Event,Open,ExhibDev,NP,VAR00001,V65,Divers
1,2,0,1,0,0,0,1,0,0,0, ,6,5,99,99,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,steering committee for astronomy webpage for teachers,5
1,5,1,0,0,0,0,0,0,1,0, ,5,4,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0, ,1
1,1,0,0,0,0,0,0,0,0,0, ,5,4,0,0,2,99,1,0,0,1,1,0,0,0,1,1,1,0,0, ,5
1,4,0,0,0,0,0,0,0,0,0, ,6,5,1,3,99,7,1,1,1,1,1,1,0,1,1,1,1,0,0, ,9
1,6,1,0,0,0,0,0,0,0,1,Undergrad Degree,6,5,1,2,2,1,1,1,0,1,1,0,0,1,1,0,1,0,0, ,6
1,3,1,0,0,0,0,0,1,0,0, ,5,5,99,1,0,1,99,0,0,0,0,0,1,0,0,0,0,0,0, ,1
1,2,1,0,1,0,0,0,0,0,1,Apollo 11 Mission,3,5,99,1,4,1,99,1,0,0,0,0,0,0,0,0,0,0,0, ,1
1,5,1,0,1,0,0,0,0,0,0, ,6,5,99,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0, ,4
1,1,0,0,0,0,0,0,0,0,0, ,6,99,0,99,99,99,99,0,0,0,0,0,0,0,0,0,0,0,0, ,0
1,5,1,0,0,0,0,0,0,1,0, ,5,5,0,1,1,1,99,1,0,1,1,0,0,0,1,1,0,0,0, ,5
1,5,1,0,0,0,0,0,0,1,0, ,5,4,0,4,2,2,1,1,0,1,0,0,1,0,1,0,0,0,0, ,4
1,4,0,0,0,0,0,0,0,0,0, ,5,5,0,4,3,1,1,1,0,1,0,0,1,0,1,0,0,0,0, ,4
1,2,0,0,0,0,0,0,0,0,0, ,2,5,99,1,7,2,1,1,1,1,0,0,1,0,1,1,0,0,0, ,6
1,1,1,0,0,1,0,1,1,0,0, ,4,5,99,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0, ,7
1,5,1,0,0,0,0,1,0,0,0, ,5,5,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0, ,5
1,5,1,0,0,0,0,0,0,0,1,content of school syllabus,5,5,1,1,7,3,1,1,0,1,1,0,0,0,0,1,0,0,0, ,4
1,2,0,0,0,0,0,0,0,0,0, ,2,5,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,"Organizing outreach festivals, maintaining a website, being active on social media, teaching university classes, answering e-mail from the public, doing media interviews",8
1,2,0,0,0,0,0,0,0,0,0, ,5,5,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0, ,7
1,6,0,0,0,0,0,0,0,0,0, ,99,4,1,1,0,1,99,0,0,1,0,0,0,0,0,0,0,0,0, ,1
1,5,1,1,0,0,0,0,0,1,0,"Masters of the Universe given by teacher (also article on Vera Rubin), maths",5,5,0,1,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0, ,3
1,4,1,0,0,0,0,1,1,0,0,and grandparents,6,4,99,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0, ,5
1,1,0,0,0,0,0,0,0,0,0, ,6,5,99,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0, ,2
1,1,1,1,0,0,0,1,0,0,0,science fiction,3,5,99,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0, ,6
1,2,1,0,0,1,0,0,1,0,0, ,4,5,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0, ,2
1,2,0,0,0,0,0,0,0,0,0, ,5,5,0,99,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0, ,2
1,3,1,0,0,0,0,1,0,0,0, ,4,5,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0, ,2
1,1,0,0,0,0,0,0,0,0,0, ,5,5,0,1,7,0,1,0,1,1,0,0,0,0,1,1,0,0,0, ,4
1,3,1,1,0,0,0,0,0,0,0, ,6,5,1,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,1,designing educational programs in planetarium,1
1,4,1,0,0,0,0,0,0,1,0, ,5,5,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0, ,1
1,5,1,1,0,0,0,0,0,0,0, ,6,4,0,1,0,1,99,0,0,1,1,0,0,1,1,0,0,0,0, ,4
1,2,1,0,0,0,0,1,0,0,0, ,5,5,99,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0, ,2
1,2,1,0,0,0,0,0,1,0,0, ,5,5,99,1,5,1,1,1,1,1,0,0,0,0,1,1,0,0,0, ,5
1,1,0,0,0,0,0,0,0,0,0, ,2,5,99,1,2,1,1,1,1,1,0,0,1,0,1,1,0,0,0, ,6
1,4,1,1,0,0,0,1,0,0,0, ,6,5,99,1,0,0,99,1,1,1,1,0,1,0,1,1,1,0,1,"Let's talk science, chat with students, virtual presentation, press releases about science results",9
1,1,1,1,0,0,0,0,0,0,0, ,5,4,0,1,1,1,99,0,0,1,0,0,0,0,1,0,0,0,0, ,2
1,1,1,1,0,0,0,0,0,0,0, ,5,5,0,2,2,2,99,0,0,1,0,0,0,0,0,0,0,0,0, ,1
1,4,0,0,0,0,0,0,0,0,0, ,6,5,0,1,3,3,99,1,0,1,0,0,0,1,1,1,0,0,0, ,5
1,6,0,0,0,0,0,0,0,0,1,College Course,99,5,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0, ,7
1,1,0,0,0,0,0,1,1,1,0, ,4,4,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0, ,5
1,5,1,0,0,0,0,0,0,1,0, ,6,5,99,1,7,1,99,1,0,1,0,0,0,0,0,1,0,0,0, ,3
1,3,1,1,1,0,0,0,0,0,0, ,5,5,99,1,0,1,99,0,0,1,1,1,1,1,0,0,0,0,0, ,5
1,3,1,0,0,0,0,0,0,0,1,Visit Planetarium,4,5,99,1,1,0,99,0,0,1,0,0,0,0,1,1,0,0,1,Mentoring,4
1,1,1,0,0,0,0,1,0,0,0, ,6,5,0,99,0,0,99,0,0,1,1,0,0,0,0,1,0,0,0, ,3
1,3,1,1,1,0,0,0,0,0,0, ,4,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,Talk to people who show an interest to astronomy,3
1,3,1,0,0,0,0,1,0,0,0, ,5,5,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0, ,2
1,6,1,0,0,0,0,0,0,1,0,celestial mechanics,6,4,99,99,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0, ,5
2,3,0,0,0,0,0,0,0,0,0, ,6,4,99,1,0,1,99,1,0,1,1,0,1,0,1,0,1,0,0, ,6
2,3,1,0,0,0,0,0,0,0,1,Apollo missions,6,5,99,0,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0, ,1
2,4,1,0,0,1,0,0,0,0,0, ,6,5,0,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0, ,2
2,2,1,0,0,0,0,1,0,0,0, ,6,5,0,0,1,1,99,1,0,1,1,1,0,1,1,1,1,0,1,Supporting amateur astronomy,9
2,1,1,1,0,0,0,0,0,0,0,ladybird books,6,5,99,2,2,3,1,1,1,1,0,0,0,0,1,1,0,0,0, ,5
2,4,1,0,0,0,0,1,0,0,0, ,6,5,99,2,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0, ,6
2,1,0,0,0,0,0,0,0,0,0, ,6,5,2,1,7,1,99,1,1,1,0,0,0,0,0,0,1,0,0, ,4
2,1,1,1,0,1,0,0,0,0,0,"V.P. Tsessevich ""what and how to observe in the sky""",3,5,0,1,1,1,99,1,0,1,0,0,0,0,1,1,0,0,0, ,4
2,2,1,0,0,1,1,1,0,0,0, ,99,5,99,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0, ,1
2,6,1,0,0,0,0,0,1,0,0, ,3,5,99,0,2,1,1,1,1,1,1,0,1,0,1,1,0,0,0, ,7
2,6,1,0,0,0,0,0,0,0,1,school,6,5,99,99,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,Youtube Videos,7
2,3,0,0,0,0,0,0,0,0,0, ,6,5,1,1,0,1,99,0,0,0,0,0,0,0,0,1,0,0,1,Web Formation,2
2,1,0,0,0,0,0,0,0,0,0, ,6,5,0,1,0,1,99,1,1,1,0,0,1,0,1,1,0,0,0, ,6
2,4,0,1,1,1,0,0,0,1,0, ,5,5,99,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0, ,6
2,2,1,0,0,0,0,1,1,0,1, ,3,5,99,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0, ,2
2,1,0,1,1,0,0,0,0,0,0, ,4,5,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0, ,2
2,2,0,0,0,0,0,0,0,0,0, ,4,4,0,1,0,0,99,1,1,1,0,0,0,1,1,1,1,0,0, ,7
2,1,1,1,1,0,0,0,0,0,0, ,1,4,99,1,1,1,99,0,0,0,0,0,0,0,0,0,0,1,0, ,0
2,1,1,1,0,1,0,1,0,0,0, ,3,5,99,2,1,2,99,1,0,1,0,0,0,0,0,0,0,0,0, ,2
2,3,1,1,0,0,0,0,0,0,0, ,5,5,1,1,1,1,99,1,0,1,0,0,0,0,0,0,0,0,0, ,2
2,5,1,0,0,0,0,0,0,0,1,Undergrad Option,6,5,0,99,1,1,99,0,0,1,0,0,1,0,0,1,0,0,0, ,3
2,1,1,0,0,0,0,0,0,0,1,Apollo Program,1,5,99,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,based on activities which are pre arrange because of time constraint,3
2,1,0,0,0,0,0,0,0,0,0, ,6,5,99,1,1,1,99,0,0,1,0,0,1,0,0,1,0,0,0, ,3
2,3,1,0,0,0,0,0,0,0,1,Visit Planetarium,6,4,99,1,99,1,99,0,0,1,0,0,0,1,0,0,0,0,0, ,2
2,5,1,0,0,0,0,0,0,0,1,Unpaid Summer Work at DAO,5,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0, ,1
2,3,1,0,0,0,0,1,0,0,1,Comet Mrkos,6,4,0,1,0,1,99,0,0,1,0,0,0,0,0,0,1,0,0, ,2
2,2,1,0,1,1,0,1,0,0,0, ,4,5,0,1,2,1,99,1,0,1,0,0,0,0,0,1,0,0,0, ,3
2,1,1,0,0,1,1,1,1,0,0, ,6,3,99,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0, ,2
2,1,0,1,1,1,0,1,0,0,0, ,2,5,99,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,teaching,2
2,3,0,0,0,0,0,0,0,0,0, ,6,5,0,1,2,1,1,1,0,1,0,0,1,0,1,1,1,0,0, ,6
2,5,0,0,0,0,0,0,0,0,0, ,6,5,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0, ,7
2,4,1,0,0,0,0,0,0,0,1,internship at Max Plack institute,6,3,99,0,1,1,99,1,1,1,0,0,0,0,0,0,0,1,0, ,3
2,3,0,0,0,0,0,0,0,0,0, ,5,4,99,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0, ,1
2,1,0,0,0,0,0,0,0,0,0, ,2,5,99,99,1,3,99,0,1,1,1,0,0,0,1,1,0,0,0, ,5
